method,after_task,after_task_name,eval_task,eval_task_name,raw,normalized
finetune,17,"biggrid50-goal(46,31)",2,"biggrid50-goal(15,31)",0.8037415146827698,0.15147055336966594
finetune,17,"biggrid50-goal(46,31)",3,"biggrid50-goal(9,24)",0.7942177057266235,-0.013400250440148856
finetune,17,"biggrid50-goal(46,31)",4,"biggrid50-goal(21,17)",0.7499999403953552,0.10036699097429562
finetune,17,"biggrid50-goal(46,31)",5,"biggrid50-goal(27,3)",0.7244898676872253,0.003690122004658779
finetune,17,"biggrid50-goal(46,31)",6,"biggrid50-goal(3,31)",0.7367346882820129,0.14095447924756335
finetune,17,"biggrid50-goal(46,31)",7,"biggrid50-goal(33,10)",0.8619046807289124,0.14884655428435814
finetune,17,"biggrid50-goal(46,31)",8,"biggrid50-goal(27,45)",0.6738095879554749,0.08666671562195524
finetune,17,"biggrid50-goal(46,31)",9,"biggrid50-goal(21,45)",0.8411563634872437,0.4538009042261783
finetune,17,"biggrid50-goal(46,31)",10,"biggrid50-goal(33,3)",0.8051019310951233,-0.21656050718436776
finetune,17,"biggrid50-goal(46,31)",11,"biggrid50-goal(21,24)",0.8530611395835876,0.3414632712958419
finetune,17,"biggrid50-goal(46,31)",12,"biggrid50-goal(21,3)",0.7333333492279053,0.10400004486084027
finetune,17,"biggrid50-goal(46,31)",13,"biggrid50-goal(3,17)",0.7129250764846802,-0.08903247571658625
finetune,17,"biggrid50-goal(46,31)",14,"biggrid50-goal(15,45)",0.776190459728241,0.13534797577436755
finetune,17,"biggrid50-goal(46,31)",15,"biggrid50-goal(3,24)",0.7438775300979614,-0.018944396083498474
finetune,17,"biggrid50-goal(46,31)",16,"biggrid50-goal(3,10)",0.6561224460601807,-0.007976197027948051
finetune,17,"biggrid50-goal(46,31)",17,"biggrid50-goal(46,31)",0.8380951285362244,0.4919954554167972
finetune,18,"biggrid50-goal(46,24)",0,"biggrid50-goal(40,31)",0.875510036945343,0.6246148365742418
finetune,18,"biggrid50-goal(46,24)",1,"biggrid50-goal(9,31)",0.8027210235595703,0.10769215008213252
finetune,18,"biggrid50-goal(46,24)",2,"biggrid50-goal(15,31)",0.8037413954734802,0.15147003796472774
finetune,18,"biggrid50-goal(46,24)",3,"biggrid50-goal(9,24)",0.803741455078125,0.03350062610037214
finetune,18,"biggrid50-goal(46,24)",4,"biggrid50-goal(21,17)",0.7469387650489807,0.08935125604859467
finetune,18,"biggrid50-goal(46,24)",5,"biggrid50-goal(27,3)",0.7479591369628906,0.0885605571222049
finetune,18,"biggrid50-goal(46,24)",6,"biggrid50-goal(3,31)",0.7465985417366028,0.17314063804010785
finetune,18,"biggrid50-goal(46,24)",7,"biggrid50-goal(33,10)",0.8874149322509766,0.30607953364011553
finetune,18,"biggrid50-goal(46,24)",8,"biggrid50-goal(27,45)",0.6636054515838623,0.05809512969424196
finetune,18,"biggrid50-goal(46,24)",9,"biggrid50-goal(21,45)",0.7758502960205078,0.22923972077574317
finetune,18,"biggrid50-goal(46,24)",10,"biggrid50-goal(33,3)",0.8340135216712952,-0.0360933558550179
finetune,18,"biggrid50-goal(46,24)",11,"biggrid50-goal(21,24)",0.8435373902320862,0.2987806295143381
finetune,18,"biggrid50-goal(46,24)",12,"biggrid50-goal(21,3)",0.7452380657196045,0.14399989265441793
finetune,18,"biggrid50-goal(46,24)",13,"biggrid50-goal(3,17)",0.712925136089325,-0.08903224960351072
finetune,18,"biggrid50-goal(46,24)",14,"biggrid50-goal(15,45)",0.7636053562164307,0.08672746025316666
finetune,18,"biggrid50-goal(46,24)",15,"biggrid50-goal(3,24)",0.7602040767669678,0.046008293316000856
finetune,18,"biggrid50-goal(46,24)",16,"biggrid50-goal(3,10)",0.6622448563575745,0.009969853179480594
finetune,18,"biggrid50-goal(46,24)",17,"biggrid50-goal(46,31)",0.8166665434837341,0.42475956256048925
finetune,18,"biggrid50-goal(46,24)",18,"biggrid50-goal(46,24)",0.9727889895439148,0.9095018453476188
finetune,19,"biggrid50-goal(3,45)",0,"biggrid50-goal(40,31)",0.8136053681373596,0.4379484287201431
finetune,19,"biggrid50-goal(3,45)",1,"biggrid50-goal(9,31)",0.9054421186447144,0.5723074940506825
finetune,19,"biggrid50-goal(3,45)",2,"biggrid50-goal(15,31)",0.8911564350128174,0.5294115827982571
finetune,19,"biggrid50-goal(3,45)",3,"biggrid50-goal(9,24)",0.9384353160858154,0.6968171323135304
finetune,19,"biggrid50-goal(3,45)",4,"biggrid50-goal(21,17)",0.7506802678108215,0.1028151703901987
finetune,19,"biggrid50-goal(3,45)",5,"biggrid50-goal(27,3)",0.6809523701667786,-0.153751778511635
finetune,19,"biggrid50-goal(3,45)",6,"biggrid50-goal(3,31)",0.98163241147995,0.940065804559641
finetune,19,"biggrid50-goal(3,45)",7,"biggrid50-goal(33,10)",0.7833332419395447,-0.33543018451751605
finetune,19,"biggrid50-goal(3,45)",8,"biggrid50-goal(27,45)",0.6710883975028992,0.0790473812647888
finetune,19,"biggrid50-goal(3,45)",9,"biggrid50-goal(21,45)",0.8751699924468994,0.5707600332767039
finetune,19,"biggrid50-goal(3,45)",10,"biggrid50-goal(33,3)",0.7289114594459534,-0.6921440742917947
finetune,19,"biggrid50-goal(3,45)",11,"biggrid50-goal(21,24)",0.8789114356040955,0.45731669039230516
finetune,19,"biggrid50-goal(3,45)",12,"biggrid50-goal(21,3)",0.7309523224830627,0.09599979492187305
finetune,19,"biggrid50-goal(3,45)",13,"biggrid50-goal(3,17)",0.8200680017471313,0.3174193443353926
finetune,19,"biggrid50-goal(3,45)",14,"biggrid50-goal(15,45)",0.881292462348938,0.5413925939162355
finetune,19,"biggrid50-goal(3,45)",15,"biggrid50-goal(3,24)",0.9870747923851013,0.9485790220887139
finetune,19,"biggrid50-goal(3,45)",16,"biggrid50-goal(3,10)",0.6976190209388733,0.11365884212098738
finetune,19,"biggrid50-goal(3,45)",17,"biggrid50-goal(46,31)",0.7353740334510803,0.16969024831565216
finetune,19,"biggrid50-goal(3,45)",18,"biggrid50-goal(46,24)",0.7465986013412476,0.15723971360934452
finetune,19,"biggrid50-goal(3,45)",19,"biggrid50-goal(3,45)",0.8826529383659363,0.710812794198738
finetune,20,"biggrid50-goal(21,10)",0,"biggrid50-goal(40,31)",0.8183672428131104,0.45230731404316993
finetune,20,"biggrid50-goal(21,10)",1,"biggrid50-goal(9,31)",0.845578134059906,0.301538128068512
finetune,20,"biggrid50-goal(21,10)",2,"biggrid50-goal(15,31)",0.8649659752845764,0.4161763447687945
finetune,20,"biggrid50-goal(21,10)",3,"biggrid50-goal(9,24)",0.8908162713050842,0.4623112819588576
finetune,20,"biggrid50-goal(21,10)",4,"biggrid50-goal(21,17)",0.8272107243537903,0.37821240433782904
finetune,20,"biggrid50-goal(21,10)",5,"biggrid50-goal(27,3)",0.7149659991264343,-0.030750441920130843
finetune,20,"biggrid50-goal(21,10)",6,"biggrid50-goal(3,31)",0.8336734175682068,0.45726953282341315
finetune,20,"biggrid50-goal(21,10)",7,"biggrid50-goal(33,10)",0.9146257638931274,0.4737940748371245
finetune,20,"biggrid50-goal(21,10)",8,"biggrid50-goal(27,45)",0.6741496324539185,0.08761884035379987
finetune,20,"biggrid50-goal(21,10)",9,"biggrid50-goal(21,45)",0.9102039337158203,0.6912276041695489
finetune,20,"biggrid50-goal(21,10)",10,"biggrid50-goal(33,3)",0.7734692692756653,-0.4140126796091942
finetune,20,"biggrid50-goal(21,10)",11,"biggrid50-goal(21,24)",0.914965808391571,0.6189017785279989
finetune,20,"biggrid50-goal(21,10)",12,"biggrid50-goal(21,3)",0.9278910756111145,0.7577140117427255
finetune,20,"biggrid50-goal(21,10)",13,"biggrid50-goal(3,17)",0.7751700282096863,0.14709673072148613
finetune,20,"biggrid50-goal(21,10)",14,"biggrid50-goal(15,45)",0.8119047284126282,0.2733242866778134
finetune,20,"biggrid50-goal(21,10)",15,"biggrid50-goal(3,24)",0.8336734175682068,0.33829492135767186
finetune,20,"biggrid50-goal(21,10)",16,"biggrid50-goal(3,10)",0.6826531291007996,0.06979071939171735
finetune,20,"biggrid50-goal(21,10)",17,"biggrid50-goal(46,31)",0.7465985417366028,0.20490908495845822
finetune,20,"biggrid50-goal(21,10)",18,"biggrid50-goal(46,24)",0.8673468232154846,0.5588231562679772
finetune,20,"biggrid50-goal(21,10)",19,"biggrid50-goal(3,45)",0.7687074542045593,0.43000835206402915
finetune,20,"biggrid50-goal(21,10)",20,"biggrid50-goal(21,10)",0.7693878412246704,0.13076953147290848
finetune,21,"biggrid50-goal(40,3)",0,"biggrid50-goal(40,31)",0.9765303134918213,0.9292298600686716
finetune,21,"biggrid50-goal(40,3)",1,"biggrid50-goal(9,31)",0.8639456033706665,0.38461559199719403
finetune,21,"biggrid50-goal(40,3)",2,"biggrid50-goal(15,31)",0.8425168991088867,0.31911709072466965
finetune,21,"biggrid50-goal(40,3)",3,"biggrid50-goal(9,24)",0.895578145980835,0.4857617202291181
finetune,21,"biggrid50-goal(40,3)",4,"biggrid50-goal(21,17)",0.8377550840377808,0.4161566114142558
finetune,21,"biggrid50-goal(40,3)",5,"biggrid50-goal(27,3)",0.7772108316421509,0.19434161175131423
finetune,21,"biggrid50-goal(40,3)",6,"biggrid50-goal(3,31)",0.7884353399276733,0.30965582818852305
finetune,21,"biggrid50-goal(40,3)",7,"biggrid50-goal(33,10)",0.8826529383659363,0.276728882762715
finetune,21,"biggrid50-goal(40,3)",8,"biggrid50-goal(27,45)",0.6588436365127563,0.0447620455878323
finetune,21,"biggrid50-goal(40,3)",9,"biggrid50-goal(21,45)",0.927210807800293,0.7497073736511057
finetune,21,"biggrid50-goal(40,3)",10,"biggrid50-goal(33,3)",0.8499999642372131,0.0636945732165579
finetune,21,"biggrid50-goal(40,3)",11,"biggrid50-goal(21,24)",0.8925169110298157,0.5182924271982634
finetune,21,"biggrid50-goal(40,3)",12,"biggrid50-goal(21,3)",0.9836732745170593,0.9451422018541547
finetune,21,"biggrid50-goal(40,3)",13,"biggrid50-goal(3,17)",0.7969387769699097,0.22967752205393882
finetune,21,"biggrid50-goal(40,3)",14,"biggrid50-goal(15,45)",0.8013604283332825,0.23258808572508222
finetune,21,"biggrid50-goal(40,3)",15,"biggrid50-goal(3,24)",0.8408162593841553,0.3667116340469386
finetune,21,"biggrid50-goal(40,3)",16,"biggrid50-goal(3,10)",0.6942176222801208,0.10368863951443615
