method,after_task,after_task_name,eval_task,eval_task_name,raw,normalized
cka_rl,15,"biggrid50-goal(3,24)",10,"biggrid50-goal(33,3)",0.7894557118415833,0.20128979478872436
cka_rl,15,"biggrid50-goal(3,24)",11,"biggrid50-goal(21,24)",0.891496479511261,0.47185375896352155
cka_rl,15,"biggrid50-goal(3,24)",12,"biggrid50-goal(21,3)",0.7928570508956909,0.3322365608381125
cka_rl,15,"biggrid50-goal(3,24)",13,"biggrid50-goal(3,17)",0.9159862995147705,0.6715422495104066
cka_rl,15,"biggrid50-goal(3,24)",14,"biggrid50-goal(15,45)",0.9078229665756226,0.6166895648826713
cka_rl,15,"biggrid50-goal(3,24)",15,"biggrid50-goal(3,24)",0.991156280040741,0.9482061365952184
cka_rl,16,"biggrid50-goal(3,10)",0,"biggrid50-goal(40,31)",0.7687074542045593,0.32938841188180545
cka_rl,16,"biggrid50-goal(3,10)",1,"biggrid50-goal(9,31)",0.9068025946617126,0.5725423673210512
cka_rl,16,"biggrid50-goal(3,10)",2,"biggrid50-goal(15,31)",0.865646243095398,0.37697138954372694
cka_rl,16,"biggrid50-goal(3,10)",3,"biggrid50-goal(9,24)",0.9455781579017639,0.6734692198890997
cka_rl,16,"biggrid50-goal(3,10)",4,"biggrid50-goal(21,17)",0.7812925577163696,0.2168088987433688
cka_rl,16,"biggrid50-goal(3,10)",5,"biggrid50-goal(27,3)",0.7442176938056946,0.1015532503651831
cka_rl,16,"biggrid50-goal(3,10)",6,"biggrid50-goal(3,31)",0.9377549886703491,0.7550196667294582
cka_rl,16,"biggrid50-goal(3,10)",7,"biggrid50-goal(33,10)",0.8945577144622803,0.591028665685675
cka_rl,16,"biggrid50-goal(3,10)",8,"biggrid50-goal(27,45)",0.6972789168357849,0.14423085671997599
cka_rl,16,"biggrid50-goal(3,10)",9,"biggrid50-goal(21,45)",0.8547618389129639,0.509195242318398
cka_rl,16,"biggrid50-goal(3,10)",10,"biggrid50-goal(33,3)",0.9064624905586243,0.6451608162143047
cka_rl,16,"biggrid50-goal(3,10)",11,"biggrid50-goal(21,24)",0.8751699924468994,0.3923837774040922
cka_rl,16,"biggrid50-goal(3,10)",12,"biggrid50-goal(21,3)",0.8197278380393982,0.4188594911075538
cka_rl,16,"biggrid50-goal(3,10)",13,"biggrid50-goal(3,17)",0.9503401517868042,0.8058511654699864
cka_rl,16,"biggrid50-goal(3,10)",14,"biggrid50-goal(15,45)",0.8523809313774109,0.38613852796899556
cka_rl,16,"biggrid50-goal(3,10)",15,"biggrid50-goal(3,24)",0.9819726347923279,0.8944214770011202
cka_rl,16,"biggrid50-goal(3,10)",16,"biggrid50-goal(3,10)",0.7159863710403442,0.10885793667655129
cka_rl,17,"biggrid50-goal(46,31)",0,"biggrid50-goal(40,31)",0.9680271148681641,0.9072975430261195
cka_rl,17,"biggrid50-goal(46,31)",1,"biggrid50-goal(9,31)",0.8704080581665039,0.4056158058334176
cka_rl,17,"biggrid50-goal(46,31)",2,"biggrid50-goal(15,31)",0.8568026423454285,0.3359616223915081
cka_rl,17,"biggrid50-goal(46,31)",3,"biggrid50-goal(9,24)",0.8598639369010925,0.15918432303783164
cka_rl,17,"biggrid50-goal(46,31)",4,"biggrid50-goal(21,17)",0.7680272459983826,0.16930583261793963
cka_rl,17,"biggrid50-goal(46,31)",5,"biggrid50-goal(27,3)",0.7833332419395447,0.2389483563986131
cka_rl,17,"biggrid50-goal(46,31)",6,"biggrid50-goal(3,31)",0.9071427583694458,0.6345378125041786
cka_rl,17,"biggrid50-goal(46,31)",7,"biggrid50-goal(33,10)",0.8517006039619446,0.42480190403312407
